building_id,damage_grade,prediction
314408000782,Grade 4,0.0
314408000881,Grade 5,0.0
314408000901,Grade 5,0.0
314408000912,Grade 1,0.0
314408000932,Grade 2,0.0
314408000951,Grade 2,0.0
314408000971,Grade 3,0.0
314408001011,Grade 2,0.0
314409000051,Grade 3,0.0
314409000151,Grade 4,0.0
314409000161,Grade 3,0.0
314409000211,Grade 3,0.0
314409000261,Grade 2,0.0
314409000351,Grade 4,0.0
314409000391,Grade 3,0.0
314409000421,Grade 4,0.0
314409000481,Grade 5,0.0
314409000511,Grade 5,0.0
314409000551,Grade 5,0.0
314409000581,Grade 4,0.0
314409000621,Grade 4,0.0
314409000631,Grade 3,0.0
314409000651,Grade 5,0.0
314409000851,Grade 4,0.0
314409000861,Grade 5,0.0
314409000882,Grade 3,0.0
314409000991,Grade 3,0.0
314409001051,Grade 3,0.0
314409001071,Grade 5,0.0
314409001081,Grade 3,0.0
314409001091,Grade 3,0.0
314409001111,Grade 4,0.0
314409001121,Grade 5,0.0
314409001131,Grade 4,0.0
314409001161,Grade 3,0.0
314409001171,Grade 4,0.0
314409001251,Grade 4,0.0
314409001271,Grade 4,0.0
314409001291,Grade 4,0.0
314409001321,Grade 2,0.0
314409001351,Grade 3,0.0
314409001411,Grade 5,0.0
314409001521,Grade 5,0.0
314409001531,Grade 5,0.0
314409001541,Grade 5,0.0
314409001571,Grade 3,0.0
314409001591,Grade 3,0.0
314409001702,Grade 5,0.0
314409001721,Grade 3,0.0
314409001801,Grade 3,0.0
314409001961,Grade 4,0.0
314409001971,Grade 4,0.0
314409002011,Grade 3,0.0
314409002041,Grade 5,0.0
314409002091,Grade 3,0.0
314409002101,Grade 2,0.0
314409002111,Grade 4,0.0
314409002121,Grade 4,0.0
314409002151,Grade 2,0.0
314409002181,Grade 5,0.0
314409002202,Grade 2,0.0
314409002231,Grade 3,0.0
314409002321,Grade 4,0.0
314409002331,Grade 5,0.0
360101000021,Grade 3,0.0
360101000081,Grade 2,0.0
360101000091,Grade 3,0.0
360101000111,Grade 4,0.0
360101000131,Grade 2,0.0
360101000161,Grade 5,0.0
360101000361,Grade 2,0.0
360101000421,Grade 4,0.0
360101000431,Grade 4,0.0
360101000471,Grade 4,0.0
360101000501,Grade 2,0.0
360101000511,Grade 2,0.0
360101000591,Grade 4,0.0
360101000601,Grade 3,0.0
