building_id,damage_grade,prediction
222407010781,Grade 3,0.0
222407010841,Grade 5,0.0
222407010861,Grade 4,0.0
222407010871,Grade 5,0.0
222407010881,Grade 3,0.0
222407011041,Grade 1,0.0
222407011051,Grade 1,0.0
222407011101,Grade 3,0.0
222407011111,Grade 4,0.0
222407011211,Grade 2,0.0
222407011301,Grade 5,0.0
222407011421,Grade 5,0.0
222407011441,Grade 1,0.0
222407011471,Grade 4,0.0
222407011501,Grade 1,4.0
222407011511,Grade 2,4.0
222407011541,Grade 1,4.0
222407011551,Grade 1,0.0
222407011621,Grade 1,4.0
222407011631,Grade 1,4.0
222407011671,Grade 4,0.0
222407011731,Grade 3,0.0
222407011741,Grade 4,0.0
222407011751,Grade 4,0.0
222407011761,Grade 3,0.0
222407011771,Grade 1,0.0
222407020011,Grade 4,0.0
222407020051,Grade 4,0.0
222407020121,Grade 4,0.0
222407020142,Grade 2,0.0
222407020152,Grade 5,0.0
222407020191,Grade 5,0.0
222407020211,Grade 4,0.0
222407020291,Grade 4,0.0
222407020371,Grade 4,0.0
222407020402,Grade 3,0.0
222407020481,Grade 4,0.0
222407020491,Grade 4,0.0
222407020691,Grade 5,0.0
222407020721,Grade 3,0.0
222407020811,Grade 4,0.0
222407020821,Grade 5,0.0
222407020942,Grade 5,0.0
222407020991,Grade 5,0.0
222407021031,Grade 5,0.0
222407021041,Grade 3,0.0
222407021181,Grade 3,0.0
222407021201,Grade 4,0.0
222407021241,Grade 4,0.0
222407021251,Grade 5,0.0
222407021261,Grade 5,0.0
222407021301,Grade 5,0.0
222407021321,Grade 5,0.0
222407021341,Grade 5,0.0
222407021351,Grade 5,0.0
222407021421,Grade 5,0.0
222407021471,Grade 5,0.0
222407021592,Grade 5,0.0
222407021671,Grade 2,0.0
222407021711,Grade 5,0.0
222407021801,Grade 5,0.0
222407021831,Grade 5,0.0
222407021861,Grade 5,0.0
222407030021,Grade 4,0.0
222407030091,Grade 5,0.0
222407030101,Grade 5,0.0
222407030151,Grade 5,0.0
222407030152,Grade 5,0.0
222407030172,Grade 1,4.0
222407030211,Grade 5,0.0
222407030231,Grade 5,0.0
222407030261,Grade 2,4.0
222407030301,Grade 5,0.0
222408010031,Grade 4,0.0
222408010052,Grade 3,0.0
222408010091,Grade 5,0.0
222408010131,Grade 4,0.0
222408010141,Grade 4,0.0
222408010161,Grade 5,0.0
222408010241,Grade 2,0.0
222408010261,Grade 1,0.0
222408010291,Grade 4,0.0
222408010371,Grade 4,0.0
222408010421,Grade 4,0.0
222408010541,Grade 4,0.0
222408010641,Grade 4,0.0
222408010701,Grade 4,0.0
222408010741,Grade 4,0.0
222408010751,Grade 5,0.0
222408010761,Grade 5,0.0
222408010771,Grade 5,0.0
222408010811,Grade 5,0.0
222408010821,Grade 5,0.0
222408010871,Grade 4,0.0
222408010891,Grade 5,0.0
222408010921,Grade 5,0.0
222408010931,Grade 3,0.0
222408020051,Grade 4,0.0
222408020091,Grade 3,0.0
222408020101,Grade 5,0.0
222408020141,Grade 4,0.0
222408020161,Grade 4,0.0
222408020191,Grade 5,0.0
222408020201,Grade 5,0.0
222408020261,Grade 4,0.0
222408020291,Grade 4,0.0
222408020301,Grade 4,0.0
222408020321,Grade 4,0.0
222408020361,Grade 4,0.0
222408020391,Grade 3,0.0
222408020431,Grade 5,0.0
222408020531,Grade 4,0.0
222408020661,Grade 4,0.0
222408020701,Grade 4,0.0
222408020711,Grade 4,0.0
222408020761,Grade 4,0.0
222408020771,Grade 3,0.0
222408020881,Grade 4,0.0
222408021021,Grade 4,0.0
222408021061,Grade 4,0.0
222408021081,Grade 4,0.0
222408021121,Grade 5,0.0
222408021151,Grade 5,0.0
222408021181,Grade 3,0.0
222408021231,Grade 4,0.0
222408021241,Grade 5,0.0
222408021291,Grade 5,0.0
222408021321,Grade 4,0.0
222408021331,Grade 4,0.0
222408021421,Grade 1,4.0
222408021441,Grade 4,0.0
222408021491,Grade 4,0.0
222408021541,Grade 5,0.0
222408030081,Grade 4,0.0
222408030221,Grade 5,0.0
222409010011,Grade 5,0.0
222409010141,Grade 4,0.0
222409010201,Grade 4,0.0
222409010231,Grade 4,0.0
222409010401,Grade 4,0.0
222409010431,Grade 4,0.0
222409020021,Grade 1,4.0
222409020031,Grade 4,0.0
222409020051,Grade 4,0.0
222409020081,Grade 4,0.0
222409020091,Grade 5,0.0
222409020101,Grade 5,0.0
222409020111,Grade 4,0.0
222409020251,Grade 5,0.0
222409020261,Grade 3,0.0
222409020301,Grade 5,0.0
