building_id,damage_grade,prediction
285902000571,Grade 3,0.0
285902000601,Grade 4,0.0
285902000621,Grade 4,0.0
285902000631,Grade 2,0.0
285902000661,Grade 3,0.0
285902000671,Grade 3,0.0
285902000721,Grade 4,0.0
285902000811,Grade 3,0.0
285902000822,Grade 4,0.0
285902000862,Grade 5,0.0
285902000891,Grade 4,0.0
285902000931,Grade 5,0.0
285902000941,Grade 4,0.0
285902001081,Grade 3,0.0
285902001101,Grade 4,0.0
285902001151,Grade 3,0.0
285902001171,Grade 3,0.0
285902001211,Grade 4,0.0
285902001391,Grade 3,0.0
285902001441,Grade 3,0.0
285902001451,Grade 3,0.0
285902001461,Grade 4,0.0
285902001541,Grade 3,0.0
285902001561,Grade 2,0.0
285902001631,Grade 5,0.0
285902001661,Grade 2,0.0
285903000031,Grade 5,0.0
285903000071,Grade 5,0.0
285903000092,Grade 1,4.0
285903000101,Grade 3,0.0
285903000171,Grade 2,0.0
285903000191,Grade 3,0.0
285903000201,Grade 1,4.0
285903000221,Grade 3,0.0
285903000301,Grade 3,0.0
285903000431,Grade 4,0.0
285903000521,Grade 5,0.0
285903000551,Grade 5,0.0
285903000581,Grade 5,0.0
285903000652,Grade 2,0.0
285903000711,Grade 4,0.0
285903000721,Grade 5,0.0
285903000901,Grade 4,0.0
285903000941,Grade 2,0.0
285903000971,Grade 2,0.0
285903001001,Grade 3,0.0
285903001101,Grade 4,0.0
285903001111,Grade 4,0.0
285903001121,Grade 5,0.0
285903001151,Grade 5,0.0
285903001221,Grade 2,0.0
285903001251,Grade 1,0.0
285903001261,Grade 3,0.0
285903001362,Grade 4,0.0
285903001371,Grade 5,0.0
285903001381,Grade 4,0.0
285903001391,Grade 5,0.0
285903001431,Grade 5,0.0
285903001471,Grade 5,0.0
285903001561,Grade 3,0.0
285903001621,Grade 3,0.0
285903001681,Grade 4,0.0
285903001731,Grade 5,0.0
285903001761,Grade 4,0.0
285904000011,Grade 5,0.0
285904000062,Grade 4,0.0
285904000131,Grade 5,0.0
285904000281,Grade 5,0.0
285904000311,Grade 2,0.0
285904000321,Grade 2,0.0
285904000331,Grade 2,4.0
285904000341,Grade 2,4.0
285904000391,Grade 5,0.0
285904000422,Grade 1,4.0
285904000471,Grade 1,0.0
285904000482,Grade 5,0.0
285904000521,Grade 4,0.0
285904000551,Grade 1,0.0
285904000571,Grade 3,0.0
285904000651,Grade 5,0.0
285904000671,Grade 5,0.0
285904000701,Grade 4,0.0
285904000731,Grade 5,0.0
285904000751,Grade 2,0.0
285904000841,Grade 5,0.0
285904000901,Grade 3,0.0
285904000911,Grade 4,0.0
285904000971,Grade 4,0.0
285904001001,Grade 3,0.0
285904001021,Grade 2,0.0
285904001051,Grade 5,0.0
285904001101,Grade 2,0.0
285904001131,Grade 5,0.0
285904001161,Grade 3,0.0
285904001221,Grade 5,0.0
285904001241,Grade 5,0.0
285904001251,Grade 5,0.0
285904001321,Grade 5,0.0
285904001391,Grade 5,0.0
285904001401,Grade 5,0.0
285905000012,Grade 5,0.0
285905000021,Grade 4,0.0
285905000031,Grade 5,0.0
285905000091,Grade 4,0.0
285905000111,Grade 5,0.0
285905000121,Grade 3,0.0
285905000311,Grade 1,4.0
285905000351,Grade 5,0.0
285905000401,Grade 5,0.0
285905000441,Grade 5,0.0
285905000451,Grade 5,0.0
285905000491,Grade 1,0.0
285905000661,Grade 3,0.0
285905000721,Grade 3,0.0
285905000761,Grade 3,0.0
285905000791,Grade 5,0.0
285905000841,Grade 5,0.0
285905000931,Grade 5,0.0
285905000941,Grade 3,0.0
285905000981,Grade 5,0.0
285905001101,Grade 5,0.0
285905001121,Grade 5,0.0
285905001141,Grade 5,0.0
285905001181,Grade 5,0.0
285905001211,Grade 3,0.0
285905001261,Grade 3,0.0
285905001341,Grade 5,0.0
