building_id,damage_grade,prediction
246512003642,Grade 4,0.0
246512003741,Grade 3,0.0
246512003851,Grade 5,0.0
246512003891,Grade 3,4.0
246512003901,Grade 3,0.0
246512003911,Grade 1,4.0
246512003991,Grade 1,4.0
246512004041,Grade 4,0.0
246512004061,Grade 4,0.0
246512004081,Grade 3,0.0
246512004121,Grade 3,0.0
246512004131,Grade 1,4.0
246512004151,Grade 3,0.0
246512004181,Grade 3,0.0
246512004201,Grade 4,0.0
246512004261,Grade 4,0.0
246512004301,Grade 1,4.0
246512004331,Grade 1,4.0
246512004491,Grade 4,0.0
246512004511,Grade 3,0.0
246512004541,Grade 3,0.0
246512004551,Grade 1,4.0
246512004571,Grade 2,4.0
246512004701,Grade 1,4.0
246512004712,Grade 3,4.0
246512004831,Grade 3,0.0
246512004832,Grade 4,0.0
246512004871,Grade 2,0.0
246512004911,Grade 4,0.0
246512004931,Grade 3,0.0
246512004942,Grade 4,0.0
246512005091,Grade 2,0.0
246512005101,Grade 2,0.0
246512005151,Grade 1,4.0
246512005201,Grade 4,0.0
246512005211,Grade 2,4.0
246512005221,Grade 3,0.0
246512005241,Grade 2,0.0
246512005251,Grade 3,0.0
246512005271,Grade 3,0.0
246512005291,Grade 3,0.0
246512005352,Grade 3,0.0
246512005353,Grade 1,4.0
246512005381,Grade 3,0.0
246513000041,Grade 2,0.0
246513000071,Grade 1,0.0
246513000161,Grade 2,0.0
246513000171,Grade 1,0.0
246513000201,Grade 3,0.0
246513000301,Grade 1,0.0
246513000311,Grade 1,0.0
246513000421,Grade 1,0.0
246513000451,Grade 2,4.0
246513000511,Grade 1,0.0
246513000551,Grade 1,0.0
246513000571,Grade 2,0.0
246513000621,Grade 1,4.0
246513000651,Grade 2,0.0
246513000671,Grade 5,0.0
246513000701,Grade 1,0.0
246513000761,Grade 1,0.0
246513000801,Grade 2,0.0
246513000841,Grade 2,0.0
246513000861,Grade 1,0.0
246513000911,Grade 2,4.0
246513001011,Grade 2,0.0
246513001041,Grade 3,0.0
246513001071,Grade 2,0.0
246513001121,Grade 3,0.0
246513001141,Grade 3,0.0
246513001171,Grade 3,0.0
246513001191,Grade 5,0.0
246513001251,Grade 4,0.0
246513001301,Grade 3,0.0
246513001331,Grade 2,0.0
246513001391,Grade 3,0.0
246513001451,Grade 2,0.0
246513001521,Grade 2,0.0
246513001621,Grade 2,4.0
246513001651,Grade 2,0.0
246513001711,Grade 2,0.0
246513001731,Grade 2,0.0
246513001781,Grade 1,4.0
246513001811,Grade 2,0.0
246513001821,Grade 1,4.0
246513001831,Grade 2,0.0
246513001851,Grade 2,0.0
246513001901,Grade 2,0.0
246513001941,Grade 2,0.0
246513001971,Grade 2,4.0
246513002041,Grade 3,0.0
246513002081,Grade 2,0.0
246513002101,Grade 2,0.0
246513002141,Grade 2,0.0
246513002161,Grade 2,0.0
246513002181,Grade 2,4.0
246513002201,Grade 4,0.0
246513002251,Grade 2,0.0
246513002261,Grade 1,4.0
246513002311,Grade 1,4.0
246513002441,Grade 2,0.0
246513002482,Grade 1,4.0
246513002531,Grade 3,0.0
246513002541,Grade 3,0.0
246513002571,Grade 3,0.0
246513002581,Grade 2,0.0
246513002591,Grade 2,0.0
246513002601,Grade 2,0.0
246513002631,Grade 2,0.0
246513002641,Grade 2,4.0
246513002771,Grade 2,0.0
246513002901,Grade 2,0.0
246513002942,Grade 1,4.0
246513002951,Grade 2,0.0
246513002971,Grade 1,4.0
246513003031,Grade 5,0.0
246513003041,Grade 2,0.0
246513003091,Grade 2,0.0
246513003171,Grade 3,0.0
246513003211,Grade 1,4.0
246513003231,Grade 2,0.0
246513003311,Grade 2,0.0
246601000021,Grade 4,4.0
246601000031,Grade 5,0.0
246601000141,Grade 2,4.0
246601000241,Grade 4,0.0
246601000272,Grade 3,4.0
246601000311,Grade 4,0.0
246601000321,Grade 5,0.0
246601000351,Grade 1,4.0
246601000402,Grade 5,0.0
246601000461,Grade 4,0.0
246601000531,Grade 5,0.0
246601000631,Grade 4,0.0
246601000661,Grade 4,0.0
246601000701,Grade 4,0.0
246601000811,Grade 3,0.0
246601000831,Grade 5,0.0
246601000851,Grade 3,0.0
246601000971,Grade 2,0.0
246601000981,Grade 4,0.0
246601001041,Grade 4,0.0
246601001052,Grade 2,0.0
246601001061,Grade 5,0.0
246601001131,Grade 4,0.0
246601001141,Grade 4,0.0
246601001151,Grade 5,0.0
246601001171,Grade 4,0.0
246601001211,Grade 2,0.0
246601001231,Grade 1,0.0
246601001251,Grade 4,0.0
246601001331,Grade 3,0.0
246601001381,Grade 4,0.0
246601001491,Grade 4,0.0
246601001501,Grade 4,0.0
246601001582,Grade 4,0.0
246601001611,Grade 4,0.0
246601001621,Grade 4,0.0
246601001652,Grade 2,0.0
246601001661,Grade 5,0.0
246601001671,Grade 2,0.0
246601001681,Grade 5,0.0
246601001691,Grade 2,0.0
246601001711,Grade 4,0.0
246601001751,Grade 5,0.0
246601001801,Grade 5,0.0
246601001872,Grade 4,0.0
246601001891,Grade 3,0.0
246601002021,Grade 2,0.0
246601002032,Grade 2,0.0
246601002041,Grade 5,0.0
246601002071,Grade 4,0.0
246601002092,Grade 1,4.0
246601002121,Grade 3,4.0
246601002141,Grade 2,4.0
246601002171,Grade 2,0.0
246601002241,Grade 5,0.0
246601002251,Grade 4,0.0
246601002331,Grade 4,0.0
246601002391,Grade 5,0.0
246601002392,Grade 5,0.0
246601002461,Grade 2,0.0
246601002491,Grade 2,0.0
246601002502,Grade 1,4.0
246601002511,Grade 3,0.0
246601002541,Grade 5,0.0
246601002571,Grade 2,4.0
246601002581,Grade 4,0.0
246601002591,Grade 4,0.0
246601002651,Grade 2,4.0
246601002661,Grade 2,4.0
246602000071,Grade 5,0.0
246602000082,Grade 4,0.0
246602000091,Grade 5,0.0
