building_id,cluster,damage_numeric,damage_grade
246512003601,0,1.0,Grade 1
246512003611,0,3.0,Grade 3
246512003612,0,2.0,Grade 2
246512003621,0,4.0,Grade 4
246512003631,0,3.0,Grade 3
246512003641,0,2.0,Grade 2
246512003642,0,4.0,Grade 4
246512003651,0,3.0,Grade 3
246512003661,0,4.0,Grade 4
246512003671,0,2.0,Grade 2
246512003681,0,1.0,Grade 1
246512003691,0,3.0,Grade 3
246512003701,0,4.0,Grade 4
246512003711,0,3.0,Grade 3
246512003712,0,2.0,Grade 2
246512003721,0,3.0,Grade 3
246512003731,0,1.0,Grade 1
246512003741,0,3.0,Grade 3
246512003751,0,3.0,Grade 3
246512003761,0,3.0,Grade 3
246512003771,0,4.0,Grade 4
246512003781,0,2.0,Grade 2
246512003791,0,4.0,Grade 4
246512003801,0,1.0,Grade 1
246512003811,0,3.0,Grade 3
246512003821,0,3.0,Grade 3
246512003831,0,3.0,Grade 3
246512003841,0,4.0,Grade 4
246512003851,0,5.0,Grade 5
246512003861,0,4.0,Grade 4
246512003871,0,3.0,Grade 3
246512003881,0,1.0,Grade 1
246512003891,0,3.0,Grade 3
246512003892,0,4.0,Grade 4
246512003901,0,3.0,Grade 3
246512003911,0,1.0,Grade 1
246512003912,0,4.0,Grade 4
246512003921,0,1.0,Grade 1
246512003931,0,1.0,Grade 1
246512003941,0,1.0,Grade 1
246512003951,0,1.0,Grade 1
246512003961,0,1.0,Grade 1
246512003971,0,2.0,Grade 2
246512003981,0,1.0,Grade 1
246512003991,0,1.0,Grade 1
246512004001,0,4.0,Grade 4
246512004011,0,2.0,Grade 2
246512004021,0,4.0,Grade 4
246512004031,0,3.0,Grade 3
246512004041,0,4.0,Grade 4
246512004051,0,4.0,Grade 4
246512004061,0,4.0,Grade 4
246512004071,0,4.0,Grade 4
246512004072,0,4.0,Grade 4
246512004081,0,3.0,Grade 3
246512004091,0,3.0,Grade 3
246512004101,0,4.0,Grade 4
246512004111,0,4.0,Grade 4
246512004121,0,3.0,Grade 3
246512004131,0,1.0,Grade 1
246512004141,0,1.0,Grade 1
246512004151,0,3.0,Grade 3
246512004161,0,3.0,Grade 3
246512004171,0,3.0,Grade 3
246512004181,0,3.0,Grade 3
246512004191,0,2.0,Grade 2
246512004201,0,4.0,Grade 4
246512004211,0,3.0,Grade 3
246512004221,0,2.0,Grade 2
246512004231,0,4.0,Grade 4
246512004241,0,3.0,Grade 3
246512004251,0,4.0,Grade 4
246512004252,0,3.0,Grade 3
246512004261,0,4.0,Grade 4
246512004271,0,1.0,Grade 1
246512004281,0,4.0,Grade 4
246512004291,0,4.0,Grade 4
246512004301,0,1.0,Grade 1
246512004311,0,1.0,Grade 1
246512004321,0,3.0,Grade 3
246512004331,0,1.0,Grade 1
246512004341,0,3.0,Grade 3
246512004351,0,2.0,Grade 2
246512004361,0,3.0,Grade 3
246512004371,0,3.0,Grade 3
246512004381,0,1.0,Grade 1
246512004391,0,3.0,Grade 3
246512004401,0,3.0,Grade 3
246512004411,0,3.0,Grade 3
246512004421,0,3.0,Grade 3
246512004431,0,3.0,Grade 3
246512004441,0,3.0,Grade 3
246512004451,0,3.0,Grade 3
246512004461,0,4.0,Grade 4
246512004471,0,3.0,Grade 3
246512004481,0,4.0,Grade 4
246512004491,0,4.0,Grade 4
246512004501,0,2.0,Grade 2
246512004511,0,3.0,Grade 3
246512004521,0,2.0,Grade 2
246512004531,0,2.0,Grade 2
246512004541,0,3.0,Grade 3
246512004551,0,1.0,Grade 1
246512004561,0,3.0,Grade 3
246512004571,0,2.0,Grade 2
246512004581,0,3.0,Grade 3
246512004591,0,1.0,Grade 1
246512004601,0,1.0,Grade 1
246512004611,0,3.0,Grade 3
246512004621,0,1.0,Grade 1
246512004622,0,3.0,Grade 3
246512004631,0,3.0,Grade 3
246512004641,0,2.0,Grade 2
246512004651,0,3.0,Grade 3
246512004661,0,3.0,Grade 3
246512004671,0,2.0,Grade 2
246512004681,0,3.0,Grade 3
246512004691,0,2.0,Grade 2
246512004701,0,1.0,Grade 1
246512004711,0,2.0,Grade 2
246512004712,0,3.0,Grade 3
246512004721,0,4.0,Grade 4
246512004731,0,2.0,Grade 2
246512004741,0,2.0,Grade 2
246512004751,0,1.0,Grade 1
246512004752,0,4.0,Grade 4
246512004761,0,3.0,Grade 3
246512004771,0,3.0,Grade 3
246512004781,0,4.0,Grade 4
246512004791,0,3.0,Grade 3
246512004801,0,2.0,Grade 2
246512004811,0,4.0,Grade 4
246512004821,0,1.0,Grade 1
246512004831,0,3.0,Grade 3
246512004832,0,4.0,Grade 4
246512004841,0,4.0,Grade 4
246512004851,0,3.0,Grade 3
246512004861,0,5.0,Grade 5
246512004871,0,2.0,Grade 2
246512004881,0,4.0,Grade 4
246512004891,0,4.0,Grade 4
246512004901,0,3.0,Grade 3
246512004911,0,4.0,Grade 4
246512004921,0,3.0,Grade 3
246601000571,0,5.0,Grade 5
246512004931,0,3.0,Grade 3
246512004941,0,1.0,Grade 1
246512004942,0,4.0,Grade 4
246512004951,0,3.0,Grade 3
246512004961,0,4.0,Grade 4
246512004971,0,2.0,Grade 2
246512004981,0,4.0,Grade 4
246512004991,0,4.0,Grade 4
246512005001,0,5.0,Grade 5
246512005011,0,3.0,Grade 3
246512005021,0,2.0,Grade 2
246512005031,0,3.0,Grade 3
246512005041,0,1.0,Grade 1
246512005051,0,3.0,Grade 3
246512005061,0,2.0,Grade 2
246512005071,0,2.0,Grade 2
246512005081,0,3.0,Grade 3
246512005082,0,3.0,Grade 3
246512005091,0,2.0,Grade 2
246512005101,0,2.0,Grade 2
246512005111,0,3.0,Grade 3
246512005121,0,4.0,Grade 4
246512005131,0,3.0,Grade 3
246512005141,0,3.0,Grade 3
246512005151,0,1.0,Grade 1
246512005161,0,2.0,Grade 2
246512005171,0,5.0,Grade 5
246512005181,0,3.0,Grade 3
246512005191,0,2.0,Grade 2
246512005201,0,4.0,Grade 4
246512005211,0,2.0,Grade 2
246512005212,0,3.0,Grade 3
246512005221,0,3.0,Grade 3
246512005231,0,3.0,Grade 3
246512005241,0,2.0,Grade 2
246512005251,0,3.0,Grade 3
246512005261,0,3.0,Grade 3
246512005271,0,3.0,Grade 3
246512005281,0,3.0,Grade 3
246512005291,0,3.0,Grade 3
246512005301,0,2.0,Grade 2
246601002191,0,5.0,Grade 5
246512005311,0,1.0,Grade 1
246512005321,0,2.0,Grade 2
246512005331,0,3.0,Grade 3
246512005341,0,1.0,Grade 1
246512005351,0,2.0,Grade 2
246512005352,0,3.0,Grade 3
246512005353,0,1.0,Grade 1
246512005361,0,3.0,Grade 3
246512005371,0,1.0,Grade 1
246512005381,0,3.0,Grade 3
246512005391,0,1.0,Grade 1
246512005401,0,1.0,Grade 1
246512005411,0,3.0,Grade 3
246513000011,0,1.0,Grade 1
246513000021,0,1.0,Grade 1
246513000031,0,1.0,Grade 1
246513000041,0,2.0,Grade 2
246513000051,0,1.0,Grade 1
246513000061,0,1.0,Grade 1
246513000071,0,1.0,Grade 1
246513000081,0,1.0,Grade 1
246513000091,0,2.0,Grade 2
246513000101,0,1.0,Grade 1
246513000111,0,2.0,Grade 2
246513000121,0,1.0,Grade 1
246513000131,0,1.0,Grade 1
246513000141,0,1.0,Grade 1
246513000151,0,2.0,Grade 2
246513000161,0,2.0,Grade 2
246513000171,0,1.0,Grade 1
246513000181,0,1.0,Grade 1
246513000191,0,1.0,Grade 1
246513000192,0,2.0,Grade 2
246513000201,0,3.0,Grade 3
246513000211,0,5.0,Grade 5
246513000221,0,1.0,Grade 1
246513000231,0,2.0,Grade 2
246513000241,0,1.0,Grade 1
246513000251,0,2.0,Grade 2
246513000261,0,3.0,Grade 3
246513000271,0,1.0,Grade 1
246513000281,0,1.0,Grade 1
246513000291,0,1.0,Grade 1
246513000301,0,1.0,Grade 1
246513000311,0,1.0,Grade 1
246513000321,0,2.0,Grade 2
246513000331,0,1.0,Grade 1
246513000341,0,3.0,Grade 3
246513000351,0,1.0,Grade 1
246513000361,0,1.0,Grade 1
246513000371,0,2.0,Grade 2
246513000381,0,2.0,Grade 2
246513000382,0,2.0,Grade 2
246513000391,0,1.0,Grade 1
246513000401,0,2.0,Grade 2
246513000411,0,2.0,Grade 2
246513000421,0,1.0,Grade 1
246513000431,0,5.0,Grade 5
246513000441,0,5.0,Grade 5
246513000451,0,2.0,Grade 2
246513000461,0,5.0,Grade 5
246513000471,0,3.0,Grade 3
246513000481,0,5.0,Grade 5
246513000491,0,1.0,Grade 1
246513000501,0,1.0,Grade 1
246513000511,0,1.0,Grade 1
246513000521,0,2.0,Grade 2
246513000531,0,2.0,Grade 2
246513000541,0,1.0,Grade 1
246513000551,0,1.0,Grade 1
246513000561,0,4.0,Grade 4
246513000571,0,2.0,Grade 2
246513000581,0,2.0,Grade 2
246513000591,0,2.0,Grade 2
246513000601,0,1.0,Grade 1
246513000611,0,1.0,Grade 1
246513000621,0,1.0,Grade 1
246513000631,0,2.0,Grade 2
246513000641,0,1.0,Grade 1
246513000651,0,2.0,Grade 2
246513000661,0,1.0,Grade 1
246513000671,0,5.0,Grade 5
246513000681,0,1.0,Grade 1
246513000691,0,1.0,Grade 1
246513000701,0,1.0,Grade 1
246513000711,0,1.0,Grade 1
